word,category,singular,plural,definite,definite_plural
grape,fruit,druva,,,
cloudberry,fruit,hjortron,,,
pear,fruit,päron,,,
pineapple,fruit,ananas,,,
plum,fruit,plommon,,,
peach,fruit,periska,,,
prune,fruit,sviskon,,,
pumpkin,fruit,pumpa,,,
tangerine,fruit,madarin,,,
kiwi,fruit,kiwi,,,
mango,fruit,mango,,,
watermelon,fruit,vattenmelon,,,
honeydew,fruit,honungsdagg,,,
nectarine,fruit,nektarin,,,
cherry,fruit,körsbär,,,
coconut,fruit,kokos,,,
carrot,vegetables,morot,,,
bell pepper,vegetables,paprika,,,
cucumer,vegetables,gurka,,,
beet,vegetables,beta,,,
lettuce,vegetables,sallad,,,
asparagus,vegetables,sparris,,,
cauliflower,vegetables,blomkål,,,
eggplant,vegetables,äggplanta,,,
zucchini,vegetables,zucchini,,,
squash,vegetables,squash,,,
corn,vegetables,majs,,,
pea,vegetables,ärta,,,
artichoke,vegetables,kronärtskocka,,,
broccoli,vegetables,broccoli,,,
radish,vegetables,rädisa,,,
turnip,vegetables,rova,,,
sweet potato,vegetables,sötpotatis,,,
mushroom,vegetables,svamp,,,
face,body,ansikte,,,
arm,body,ärm,,,
leg,body,ben,,,
hand,body,hand,,,
foot,body,fot,,,
finger,body,finger,,,
toe,body,tå,,,
nail,body,nagel,,,
cheek,body,kind,,,
tongue,body,tunga,,,
tooth,body,tand,,,
eyebrow,body,ögonbryn,,,
hair,body,hår,,,
forehead,body,panna,,,
head,body,huvud,,,
butt,body,rumpa,,,
thigh,body,lår,,,
neck,body,nacke,,,
throat,body,hals,,,
heart,body,hjärte,,,
blood,body,blod,,,
muscle,body,muskel,,,
tendon,body,sena,,,
ankle,body,vrist,,,
wrist,body,handled,,,
bone,body,ben,,,
elbow,body,armbåge,,,
"saliva,spit",body,"saliv, spott",,,
eye,body,öga,,,
eyelash,body,ögonhår,,,
pupil,body,ögonpupill,,,
freckle,body,fräkne,,,
wrinkle,body,strynkla,,,
bladder,body,blåsa,,,
liver,body,lever,,,
kidney,body,njure,,,
brain,body,hjärne,,,
spleen,body,mjälte,,,
spine,body,ryggrad,,,
vein,body,ven,,,
stomach,body,mage,,,
chest,body,bröst,,,
back,body,rygg,,,
skin,body,hud,,,
bed,bedroom,säng,,,
dresser,bedroom,byrå,,,
closet,bedroom,garderob,,,
wardrobe,bedroom,garderob,,,
rug,bedroom,matta,,,
blanket,bedroom,filt,,,
quilt,bedroom,täcke,,,
crib,bedroom,spjälsäng,,,
changing table,bedroom,skötbord,,,
nightstand,bedroom,nattduksbord,,,
phone charger,bedroom,telefon laddare,,,
electrical outlet,bedroom,eluttag,,,
laptop,bedroom,bärbar dator,,,
mattress,bedroom,madrass,,,
hanger,bedroom,klädhängare,,,
carpet,bedroom,matta golv ?,,,
necklace,bedroom,halsband,,,
earring,bedroom,örhänge,,,
bracelet,bedroom,armband,,,
anklet,bedroom,vristlänk,,,
brooch,bedroom,brosch,,,
ring,bedroom,ring,,,
jewelry,bedroom,smycken,,,
jewelry box,bedroom,smyckeskrin,,,
shower,bathroom,dusch,,,
shower curtain,bathroom,duschdraperi,,,
tile,bathroom,?,,,
toilet,bathroom,toalette,,,
sink,bathroom,tvättställ,,,
counter,bathroom,disken,,,
shampoo,bathroom,schampo,,,
conditioner,bathroom,basalm,,,
body soap,bathroom,kroppstvål,,,
mirror,bathroom,spegel,,,
razor,bathroom,rakhyvel,,,
diaper,bathroom,blöja,,,
wipe,bathroom,våtservet,,,
drain,bathroom,avlopp,,,
sink nozzle,bathroom,diskbänksmunstycke,,,
shower nozzle,bathroom,duschmunstycke,,,
shower head,bathroom,duschhuvud,,,
bathtub,bathroom,badkar,,,
bath mat,bathroom,badmatta,,,
make up,bathroom,smink,,,
lipstick,bathroom,läppstift,,,
mascara,bathroom,mascara,,,
eye shadow,bathroom,ögonskugga,,,
eye liner,bathroom,?,,,
toilet paper,bathroom,toalettepapper,,,
